season,episode,air_date,episode_location,episodeID,j_j
3,1,4/13/14,"Punjab, India",S03E01,N
4,1,9/28/14,Shanghai,S04E01,N
5,1,4/26/15,Korea,S05E01,N
6,1,9/28/15,Cuba,S06E01,N
7,1,4/24/16,"Manila, Philippines",S07E01,N
9,1,4/30/17,Los Angeles,S09E01,N
11,1,4/29/18,West Virginia,S11E01,N
1,2,4/21/13,Los Angeles,S01E02,N
5,2,5/3/15,Miami,S05E02,N
6,2,10/4/15,Marseille,S06E02,N
8,2,10/2/16,Nashville,S08E02,N
9,2,5/7/17,San Sebastian,S09E02,N
10,2,10/8/17,French Alps,S10E02,N
11,2,5/6/18,Uruguay,S11E02,N
1,3,4/28/13,Colombia,S01E03,N
2,3,9/29/13,New Mexico,S02E03,N
3,3,4/27/14,"Lyon, France",S03E03,N
4,3,10/12/14,Paraguay,S04E03,N
5,3,5/10/15,Scotland,S05E03,N
6,3,10/11/15,Okinawa,S06E03,N
8,3,10/16/16,Sichuan with Eric Ripert,S08E03,N
10,3,10/15/17,"Lagos, Nigeria",S10E03,N
11,3,5/13/18,Newfoundland,S11E03,N
1,4,5/5/13,Quebec,S01E04,N
2,4,10/6/13,Copenhagen,S02E04,N
5,4,5/17/15,Madagascar,S05E04,N
7,4,5/15/16,Montana,S07E04,N
10,4,10/22/17,Pittsburgh,S10E04,N
4,5,10/26/14,Tanzania,S04E05,N
6,5,10/25/15,Ethiopia,S06E05,N
8,5,10/30/16,Houston,S08E05,N
9,5,6/4/17,Antarctica,S09E05,N
1,6,5/19/13,Libya,S01E06,N
2,6,10/20/13,South Africa,S02E06,N
3,6,5/18/14,Mississippi Delta,S03E06,N
4,6,11/2/14,Iran,S04E06,N
7,6,5/29/16,Senegal,S07E06,N
9,6,6/11/17,Oman,S09E06,N
10,6,11/5/17,Puerto Rico,S10E06,N
1,7,6/2/13,Peru,S01E07,N
3,7,6/1/14,Thailand,S03E07,N
4,7,11/9/14,Massachusetts,S04E07,N
5,7,6/14/15,Hawaii,S05E07,N
8,7,11/20/16,Buenos Aires,S08E07,N
9,7,6/25/17,Trinidad,S09E07,N
11,7,6/17/18,Cajun Mardi Gras,S11E07,N
1,8,6/9/13,Congo,S01E08,N
2,8,11/10/13,Detroit,S02E08,N
3,8,6/8/14,"Bahia, Brazil",S03E08,N
4,8,11/16/14,Jamaica,S04E08,N
6,8,11/15/15,"Charleston, S.C.",S06E08,N
8,8,11/27/16,"Minas Gerais, Brazil",S08E08,N
9,8,7/2/17,"Porto, Portugal",S09E08,N
11,8,6/24/18,Bhutan,S11E08,N
1,1,4/14/13,Myanmar,S01E01,Y
2,1,9/15/13,Jerusalem,S02E01,Y
8,1,9/25/16,"Hanoi, Vietnam",S08E01,Y
10,1,10/1/17,Singapore,S10E01,Y
2,2,9/22/13,Spain,S02E02,Y
3,2,4/20/14,Las Vegas,S03E02,Y
4,2,10/5/14,The Bronx,S04E02,Y
7,2,5/1/16,Chicago,S07E02,Y
7,3,5/8/16,The Greek Islands,S07E03,Y
9,3,5/14/17,Laos,S09E03,Y
3,4,5/4/14,Mexico City,S03E04,Y
4,4,10/19/14,Vietnam,S04E04,Y
6,4,10/18/15,Bay Area,S06E04,Y
8,4,10/23/16,London,S08E04,Y
9,4,5/21/17,Queens,S09E04,Y
11,4,5/20/18,Armenia,S11E04,Y
1,5,5/12/13,"Tangier, Morocco",S01E05,Y
2,5,10/13/13,Sicily,S02E05,Y
3,5,5/11/14,Russia,S03E05,Y
5,5,5/31/15,New Jersey,S05E05,Y
7,5,5/22/16,"Tblisi, Georgia",S07E05,Y
10,5,10/29/17,Sri Lanka,S10E05,Y
11,5,6/3/18,Hong Kong,S11E05,Y
5,6,6/7/15,Budapest,S05E06,Y
6,6,11/1/15,Borneo,S06E06,Y
8,6,11/13/16,Japan with Masa,S08E06,Y
11,6,6/10/18,Berlin,S11E06,Y
2,7,11/3/13,Tokyo,S02E07,Y
6,7,11/8/15,Istanbul,S06E07,Y
7,7,6/5/16,"Cologne, Germany",S07E07,Y
10,7,11/19/17,Seattle,S10E07,Y
5,8,6/21/15,Beirut,S05E08,Y
10,8,11/26/17,Southern Italy,S10E08,Y
8,9,12/4/16,Rome,S08E09,Y
2,Special,11/10/13,Parts Unknown Last Bite,S02Special,
2,Special,9/15/13,Prime Cuts Season 1,S02Special,
3,Special,4/20/14,Prime Cuts Season 2,S03Special,
4,Special,9/28/14,Prime Cuts Season 3,S04Special,
5,Special,4/26/15,Prime Cuts Season 4,S05Special,
6,Special,9/27/15,Prime Cuts Season 5,S06Special,
7,Special,4/24/16,Prime Cuts Season 6,S07Special,
8,Special,9/24/16,Prime Cuts Season 7,S08Special,
9,Special,4/23/17,Prime Cuts Season 8,S09Special,
10,Special,10/1/17,Prime Cuts: Through the Seasons,S10Special,
11,Special,4/22/18,Prime Cuts Season 10,S11Special,
