Afghanistan,Afghan,Persian
Albania,Albanian,Albanian
Algeria,Algerian,Arabic
Argentina,Argentine,Spanish
,Argentinian,
Australia,Australian,English
Austria,Austrian,German
Bangladesh,Bangladeshi,Bengali
Belgium,Belgian,French
Bolivia,Bolivian,Spanish
Botswana,Batswana,Setswana
Brazil,Brazilian,Portuguese
Bulgaria,Bulgarian,Bulgarian
Cambodia,Cambodian,Cambodian
Cameroon,Cameroonian,
Canada,Canadian,
Chile,Chilean,Spanish
China,Chinese,Chinese
Colombia *,Colombian,Spanish
Costa Rica,Costa Rican,Spanish
Croatia,Croatian,Croatian
Cuba,Cuban,Spanish
Czech Republic,Czech,Czech
Denmark,Danish,Danish
Dominican Republic,Dominican,Spanish
Ecuador,Ecuadorian,Spanish
Egypt,Egyptian,Arabic
El Salvador,Salvadorian,Spanish
England,English,English
,,
Estonia,Estonian,Estonian
Ethiopia,Ethiopian,Amharic
Fiji,Fijian,Fijian
Finland,Finnish,Finnish
France,French,French
,,
Germany,German,German
Ghana,Ghanaian,English
Greece,Greek,Greek
Guatemala,Guatemalan,Spanish
Haiti,Haitian,French
Honduras,Honduran,Spanish
Hungary,Hungarian,Hungarian
Iceland,Icelandic,Icelandic
India,Indian,Hindi
Indonesia,Indonesian,Indonesian
Iran,Iranian,Persian
Iraq,Iraqi,Kurdish
Ireland,Irish,Irish
,,
Israel,Israeli,Hebrew
Italy,Italian,Italian
Jamaica,Jamaican,English
Japan,Japanese,Japanese
Jordan,Jordanian,Arabic
Kenya,Kenyan,Swahili
Kuwait,Kuwaiti,Arabiv
Laos,Lao,Laotian
Latvia,Latvian,Latvian
Lebanon,Lebanese,Arabic
Libya,Libyan,Arabic
Lithuania,Lithuanian,Lithuanian
Malaysia,Malaysian,Malay
Mali,Malian,French
Malta,Maltese,"English, Maltese"
Mexico,Mexican,Spanish
Mongolia,Mongolian,Mongolian
Morocco,Moroccan,Arabic
Mozambique,Mozambican,Portuguese
Namibia,Namibian,English
Nepal,Nepalese,Nepali
Netherlands,Dutch,Dutch
,,
New Zealand,New Zealand,Maori
Nicaragua,Nicaraguan,Spanish
Nigeria,Nigerian,English
Norway,Norwegian,Norwegian
Pakistan,Pakistani,Urdu
Panama,Panamanian,Spanish
Paraguay,Paraguayan,Spanish
Peru,Peruvian,Spanish
Philippines,Philippine,Tagalog
Poland,Polish,Polish
Portugal,Portuguese,Portuguese
Romania,Romanian,Romanian
Russia,Russian,Russian
Saudi Arabia,Saudi,Arabic
Scotland,Scottish,English
Senegal,Senegalese,French
Serbia,Serbian,Serbian
Singapore,Singaporean,Tamil
Slovakia,Slovak,Slovak
South Africa,South African,Afrikaans
South Korea,Korean,Korean
Spain,Spanish,Spanish
Sri Lanka,Sri Lankan,Sinhala
Sudan,Sudanese,Arabic
Sweden,Swedish,Swedish
Switzerland,Swiss,Romansh
Syria,Syrian,Arabic
Taiwan,Taiwanese,Chinese
Tajikistan,Tajikistani,Tajik
Thailand,Thai,Thai
Tonga,Tongan,Tongan
Tunisia,Tunisian,Arabic
Turkey,Turkish,Turkish
Ukraine,Ukrainian,Ukrainian
United Arab Emirates,Emirati,Arabic
(The) United Kingdom,British,English
(The) United States,American **,English
Uruguay,Uruguayan,Spanish
Venezuela,Venezuelan,Spanish
Vietnam,Vietnamese,Vietnamese
Wales,Welsh,Welsh
,,
Zambia,Zambian,English
Zimbabwe,Zimbabwean,
